componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"CONCEITOS FUNDAMENTAIS EM FISIOLOGIA: CONTROLE NEURAL E HUMORAL DOS SISTEMAS BIOLÓGICOS","FISIO0062","TURMA 01","NÃO INFORMADO","2 - 09:00h-13:00 Sala de aula 107A - DID VII<br />3 - 09:00h-13:00 Sala de aula 107A - DID VII<br />4 - 09:00h-13:00 Sala de aula 107A - DID VII","2023","1","10/04/2023","10/05/2023","KATTY ANNE AMADOR DE LUCENA MEDEIROS, AUDERLAN MENDONÇA DE GOIS, DANILO LUSTRINO BORGES, JOSE RONALDO DOS SANTOS, DANIEL BADAUE PASSOS JUNIOR","234M3456","9","20","8","REGULAR","14/07/2023","CONSOLIDADA","PRESENCIAL"
"CONCEITOS EM FARMACOLOGIA: MECANISMOS DE AÇÃO DOS FÁRMACOS NOS SISTEMAS BIOLÓGICOS","FISIO0063","TURMA 01","NÃO INFORMADO","2 - 09:00h-13:00 Sala de aula 107A - DID VII<br />3 - 09:00h-13:00 Sala de aula 107A - DID VII<br />4 - 09:00h-13:00 Sala de aula 107A - DID VII","2023","1","15/05/2023","17/06/2023","ENILTON APARECIDO CAMARGO, ANGELO ROBERTO ANTONIOLLI","234M3456","10","20","10","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE MESTRADO EM CIÊNCIAS FISIOLÓGICAS I","FISIO0042","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ENILTON APARECIDO CAMARGO, CARLA MARIA LINS DE VASCONCELOS","6M1","3","15","3","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE MESTRADO EM CIÊNCIAS FISIOLÓGICAS II","FISIO0043","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","CRISTIANE BANI CORREA","6M1","1","15","1","REGULAR","17/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS I","FISIO0052","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ENILTON APARECIDO CAMARGO, CARLA MARIA LINS DE VASCONCELOS","6M2","7","15","6","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS II","FISIO0053","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","CRISTIANE BANI CORREA","6M2","6","15","6","REGULAR","17/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS III","FISIO0054","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","SANDRA LAUTON SANTOS, ENILTON APARECIDO CAMARGO","6M3","3","15","3","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS IV","FISIO0055","TURMA 01","NÃO INFORMADO","6 - 09:00h-10:00 Sala de aula 202 - DID VII","2023","1","06/03/2023","17/06/2023","CRISTIANE BANI CORREA","6M3","3","15","3","REGULAR","17/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS V","FISIO0056","TURMA 01","NÃO INFORMADO","6 - 10:00h-11:00 Sala de aula 202 - DID VII","2023","1","06/03/2023","17/06/2023","ENILTON APARECIDO CAMARGO, SANDRA LAUTON SANTOS","6M4","4","15","4","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE MESTRADO EM CIÊNCIAS FISIOLÓGICAS III","FISIO0044","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","DEISE MARIA FURTADO DE MENDONCA MARTINS","6M5","4","15","4","REGULAR","19/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS EM BIOTECNOLOGIA I","PROBI0006","TURMA 01","NÃO INFORMADO","2 - 17:00h-19:00 Sala de aula 103A - DID VII","2023","1","06/03/2023","17/06/2023","DANIEL PEREIRA DA SILVA, TIAGO BRANQUINHO OLIVEIRA, BRANCILENE SANTOS DE ARAUJO","2T56","6","10","5","REGULAR","17/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS VII","FISIO0058","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","CRISTIANE BANI CORREA","6M6","3","15","3","REGULAR","17/06/2023","CONSOLIDADA","PRESENCIAL"
"GOVERNANÇA EM SERVIÇOS DE SAÚDE","PPGITS0030","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","21/03/2023","FLAVIA JANOLIO COSTACURTA PINTO DA SILVA, ANGELA MARIA DA SILVA","236N1234","14","20","13","REGULAR","27/07/2023","CONSOLIDADA","PRESENCIAL"
"E-HEALTH","PPGITS0026","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","20/03/2023","14/04/2023","SILVIA DE MAGALHAES SIMOES, ADICINEIA APARECIDA DE OLIVEIRA","246N1234","13","20","13","REGULAR","19/06/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA INVESTIGAÇÃO CIENTÍFICA II","NPGME0237","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","KARINA CONCEICAO GOMES MACHADO DE ARAUJO","5M1234","52","49","49","REGULAR","20/07/2023","CONSOLIDADA","PRESENCIAL"
"ESTATÍSTICA APLICADA À SAÚDE, GESTÃO E TECNOLOGIAS","PPGITS0021","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","17/04/2023","05/05/2023","MARCO ANTONIO PRADO NUNES","234N1234","3","20","3","REGULAR","25/07/2023","CONSOLIDADA","PRESENCIAL"
"SAÚDE, DETERMINANTES, PROMOÇÃO E INVESTIGAÇÃO","NPGME0211","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","28/03/2023","14/04/2023","RICARDO QUEIROZ GURGEL","2M56 346M123456","71","71","69","REGULAR","19/06/2023","CONSOLIDADA","PRESENCIAL"
"BIOESTATÍSTICA (ANÁLISE ESTATÍSTICA DE DADOS QUANTITATIVOS)","NPGME0206","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","17/04/2023","06/05/2023","MARCO ANTONIO PRADO NUNES","237M123456 4M56","59","60","57","REGULAR","25/07/2023","CONSOLIDADA","PRESENCIAL"
"EPIDEMIOLOGIA","NPGME0208","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","09/05/2023","18/05/2023","RICARDO QUEIROZ GURGEL","7M123456  247T123456 356T56","66","62","62","REGULAR","02/08/2023","CONSOLIDADA","PRESENCIAL"
"BIOÉTICA","NPGME0207","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","16/05/2023","22/05/2023","ROSANA CIPOLOTTI","2346M1234","66","66","62","REGULAR","18/07/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA E PRÁTICA DE ENSINO EM SAÚDE","NPGME0210","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","23/05/2023","07/06/2023","ROSANA CIPOLOTTI","2346M12345","65","64","61","REGULAR","18/07/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DE PESQUISA EM CINEMA E INTERDISCIPLINARIDADE","CINE0003","TURMA 01","NÃO INFORMADO","4 - 07:00h-11:00 Dependências do DELI","2023","1","06/03/2023","17/06/2023","FERNANDO DE MENDONCA","4M1234","14","18","14","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA E DIDÁTICA DO ENSINO SUPERIOR","NUTRI0022","TURMA 01","NÃO INFORMADO","6 - 10:00h-14:00 Sala de aula 107B - DID VII","2023","1","10/03/2023","12/05/2023","JANE DE JESUS DA SILVEIRA MOREIRA","6M456  6T1","14","15","13","REGULAR","12/07/2023","CONSOLIDADA","PRESENCIAL"
"AVALIAÇÃO DE POLÍTICAS PÚBLICAS DE SAÚDE E NUTRIÇÃO","NUTRI0027","TURMA 01","NÃO INFORMADO","3 - 08:00h-11:00 Sala de aula 103A - DID VII","2023","1","07/03/2023","09/05/2023","SILVIA MARIA VOCI","3M234","10","15","10","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"NUTRIÇÃO NAS ALTERAÇÕES ENDÓCRINAS E METABÓLICAS","NUTRI0034","TURMA 01","NÃO INFORMADO","2 - 13:00h-19:00 Sala de aula 103B - DID VII<br />3 - 13:00h-19:00 Sala de aula 107B - DID VII<br />4 - 13:00h-19:00 Sala de aula 107A - DID VII<br />5 - 13:00h-19:00 Sala de aula 103B - DID VII<br />6 - 13:00h-19:00 Sala de aula 107A - DID VII<br />7 - 13:00h-19:00 Sala de aula 103A - DID VII","2023","1","05/06/2023","09/06/2023","MÁRCIA FERREIRA CÂNDIDO DE SOUZA","234567T123456","17","15","14","REGULAR","16/06/2023","CONSOLIDADA","PRESENCIAL"
"DOCUMENTÁRIO BRASILEIRO CONTEMPORÂNEO","CINE0015","TURMA 01","NÃO INFORMADO","3 - 14:00h-18:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","ROMERO JUNIOR VENANCIO SILVA","3T2345","7","22","4","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"CINEMA E GÊNERO","CINE0009","TURMA 01","NÃO INFORMADO","4 - 14:00h-18:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","CLAUDIENE SANTOS, LUIZ GUSTAVO PEREIRA DE SOUZA CORREIA","4T2345","12","16","12","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"CINEMA E LITERATURA","CINE0010","TURMA 01","NÃO INFORMADO","5 - 14:00h-18:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","JEAN PAUL D ANTONY COSTA SILVA","5T2345","10","16","9","REGULAR","30/07/2023","CONSOLIDADA","PRESENCIAL"
"AVALIAÇÃO EM TECNOLOGIA À SAÚDE","PPGITS0036","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","GRACE ANNE AZEVEDO DÓRIA","2M12 6M1","13","20","13","REGULAR","26/07/2023","CONSOLIDADA","PRESENCIAL"
"COMUNICAÇÃO INTERPESSOAL COMO FERRAMENTA DE PRÁTICA E INVESTIGAÇÃO CIENTÍFICA NA ÁREA DA SAÚDE","PPGITS0025","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","02/05/2023","12/05/2023","IZADORA MENEZES DA CUNHA BARROS, BRENDA CARLA LIMA ARAÚJO","346N1234","21","20","19","REGULAR","12/06/2023","CONSOLIDADA","PRESENCIAL"
"ANÁLISE NO R(N)","PROMAT0028","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","DEBORA LOPES DA SILVA","246M34","10","30","10","REGULAR","19/07/2023","CONSOLIDADA","PRESENCIAL"
"ESTRUTURAS ALGÉBRICAS","PROMAT0032","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ZAQUEU ALVES RAMOS","246T12","20","30","19","REGULAR","20/07/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA INVESTIGAÇÃO CIENTÍFICA I","NPGME0209","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","27/03/2023","LUIZ CARLOS FERREIRA DA SILVA","2M3456 3M123456 46M56  346N1234","25","25","25","REGULAR","26/07/2023","CONSOLIDADA","PRESENCIAL"
"ESTATÍSTICA EXPERIMENTAL","PPGAGRI0100","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ARIE FITZGERALD BLANK","5T2345","22","25","21","REGULAR","27/07/2023","CONSOLIDADA","PRESENCIAL"
"ARTE 6","ART2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARCELO OLIVEIRA UCHOA, THAIS FERNANDA VICENTE RABELO MACIEL","3M56 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","23/12/2023","CONSOLIDADA","PRESENCIAL"
"CIÊNCIAS 6","CIE2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","CHRISTIANE RAMOS DONATO","3M23 6M1 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"DESENHO GEOMÉTRICO 6","DGE2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ÉRICA DE OLIVEIRA JARSKE","6M56 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","24/12/2023","CONSOLIDADA","PRESENCIAL"
"EDUCAÇÃO FÍSICA 6","EDF2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARLAINE LOPES DE ALMEIDA, RODRIGO DE SOUZA SANTOS","2M12 4M1 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","27/12/2023","CONSOLIDADA","PRESENCIAL"
"GEOGRAFIA 6","GEO2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","DEUZETE FEITOSA DE MENESES, MARCLEIA ELIAS MOURA","2M34 4M2 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA 6","HIS2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","JOAQUIM TAVARES DA CONCEICAO","3M1 5M45 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","11/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - ESPANHOL 6","ESP2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","LEONOR DEMETRIO DA SILVA","6M4 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - FRANCÊS 6","FRA2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ISABEL DE FATIMA RODRIGUES SILVA","6M3 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - INGLÊS 6","ING2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","RODRIGO BELFORT GOMES","5M3 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA PORTUGUESA 6","LPO2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ALESSANDRA PEREIRA GOMES MACHADO","3M4 4M56 5M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"MATEMÁTICA 6","MAT2206","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","JOSÉ ADEILSON PEREIRA MELQUÍADES","2M56 4M34 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"ARTE 6","ART2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","THAIS FERNANDA VICENTE RABELO MACIEL, MARCELO OLIVEIRA UCHOA","3M34 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","23/12/2023","CONSOLIDADA","PRESENCIAL"
"CIÊNCIAS 6","CIE2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","CHRISTIANE RAMOS DONATO","3M1 6M23 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"DESENHO GEOMÉTRICO 6","DGE2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ÉRICA DE OLIVEIRA JARSKE","5M56 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","24/12/2023","CONSOLIDADA","PRESENCIAL"
"EDUCAÇÃO FÍSICA 6","EDF2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARLAINE LOPES DE ALMEIDA, RODRIGO DE SOUZA SANTOS","2M34 4M5 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","27/12/2023","CONSOLIDADA","PRESENCIAL"
"GEOGRAFIA 6","GEO2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARCLEIA ELIAS MOURA, DEUZETE FEITOSA DE MENESES","2M56 6M5 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA 6","HIS2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","JOAQUIM TAVARES DA CONCEICAO","3M2 5M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","11/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - ESPANHOL 6","ESP2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","LEONOR DEMETRIO DA SILVA","6M6 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - FRANCÊS 6","FRA2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ISABEL DE FATIMA RODRIGUES SILVA","6M4 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","21/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - INGLÊS 6","ING2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","RODRIGO BELFORT GOMES","4M3 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA PORTUGUESA 6","LPO2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ALESSANDRA PEREIRA GOMES MACHADO","3M56 4M4 5M34 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"MATEMÁTICA 6","MAT2206","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","JOSÉ ADEILSON PEREIRA MELQUÍADES","24M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"ARTE 7","ART2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","THAIS FERNANDA VICENTE RABELO MACIEL, MARCELO OLIVEIRA UCHOA","3M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","23/12/2023","CONSOLIDADA","PRESENCIAL"
"CIÊNCIAS 7","CIE2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ALBERTO CORREA DE VASCONCELLOS","2M56 5M3 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","23/12/2023","CONSOLIDADA","PRESENCIAL"
"DESENHO GEOMÉTRICO 7","DGE2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","NATIELLE DOS SANTOS COSTA, ÉRICA DE OLIVEIRA JARSKE, SILVANIA DA SILVA COSTA","4M56 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"EDUCAÇÃO FÍSICA 7","EDF2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARILIA MENEZES NASCIMENTO SOUZA CARVALHO","6M34 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","28/12/2023","CONSOLIDADA","PRESENCIAL"
"GEOGRAFIA 7","GEO2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","GÊNISSON LIMA DE ALMEIDA","3M56 5M6 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","23/11/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA 7","HIS2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ANDREZA SANTOS CRUZ MAYNARD","2M4 5M45 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - ESPANHOL 7","ESP2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","LEONOR DEMETRIO DA SILVA","6M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - FRANCÊS 7","FRA2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","RICARDO COSTA DOS SANTOS","3M34 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","27/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - INGLÊS 7","ING2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","RODRIGO BELFORT GOMES","4M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA PORTUGUESA 7","LPO2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MICAEL DORIA DE ANDRADE, ELINALDO VASCONCELOS CAVALCANTI, EDNA CAROLINE ALEXANDRIA DA CUNHA","2M1 4M34 6M56 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"MATEMÁTICA 7","MAT2207","TURMA A","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ÉRICA DE OLIVEIRA JARSKE","2M23 5M12 (01/03/2023 - 02/12/2023)",,"35","30","REGULAR","24/12/2023","CONSOLIDADA","PRESENCIAL"
"ARTE 7","ART2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARCELO OLIVEIRA UCHOA, THAIS FERNANDA VICENTE RABELO MACIEL","5M12 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","23/12/2023","CONSOLIDADA","PRESENCIAL"
"CIÊNCIAS 7","CIE2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ALBERTO CORREA DE VASCONCELLOS","2M12 4M4 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","23/12/2023","CONSOLIDADA","PRESENCIAL"
"DESENHO GEOMÉTRICO 7","DGE2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ÉRICA DE OLIVEIRA JARSKE, NATIELLE DOS SANTOS COSTA, SILVANIA DA SILVA COSTA","4M23 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"EDUCAÇÃO FÍSICA 7","EDF2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MARILIA MENEZES NASCIMENTO SOUZA CARVALHO","6M56 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","28/12/2023","CONSOLIDADA","PRESENCIAL"
"GEOGRAFIA 7","GEO2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","GÊNISSON LIMA DE ALMEIDA","3M12 5M5 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","23/11/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA 7","HIS2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ANDREZA SANTOS CRUZ MAYNARD","2M56 5M6 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","22/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - ESPANHOL 7","ESP2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","LEONOR DEMETRIO DA SILVA","3M34 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - FRANCÊS 7","FRA2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","RICARDO COSTA DOS SANTOS","3M56 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","27/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA ESTRANGEIRA - INGLÊS 7","ING2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","RODRIGO BELFORT GOMES","4M56 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA PORTUGUESA 7","LPO2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","MICAEL DORIA DE ANDRADE, EDNA CAROLINE ALEXANDRIA DA CUNHA, ELINALDO VASCONCELOS CAVALCANTI","2M34 4M1 6M12 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","19/12/2023","CONSOLIDADA","PRESENCIAL"
"MATEMÁTICA 7","MAT2207","TURMA B","NÃO INFORMADO","Local a Definir","2023","0","01/03/2023","02/12/2023","ÉRICA DE OLIVEIRA JARSKE","56M34 (01/03/2023 - 02/12/2023)",,"35","31","REGULAR","24/12/2023","CONSOLIDADA","PRESENCIAL"
"HUMANIZAÇÃO E AMBIENTAÇÃO EM SAÚDE","PPGITS0031","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","01/06/2023","13/06/2023","MARCOS ANTONIO COSTA DE ALBUQUERQUE","23456T12345","13","20","13","REGULAR","03/07/2023","CONSOLIDADA","PRESENCIAL"
"DIFRAÇÃO E ESPALHAMENTO DE RAIOS X","FISIC0205","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","CRISTIANO TELES DE MENESES","2M1234","1","1","1","REGULAR","01/08/2023","CONSOLIDADA","PRESENCIAL"
"FÍSICA DOS MATERIAIS","FISIC0196","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","MARCOS VINICIUS DOS SANTOS REZENDE, ARIOSVALDO JÚNIOR SOUSA SILVA, RONALDO SANTOS DA SILVA","23M12","4","8","4","REGULAR","07/07/2023","CONSOLIDADA","PRESENCIAL"
"PESQUISA ORIENTADA DE DOUTORADO I","PPGAGRI0175","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ARIE FITZGERALD BLANK","6T2","3","3","3","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
